job_title,job_type,salary,job_skill,gaji_perbulan,clean_text,label
product specialist vaccines,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",product specialist vaccines communication,administration
systems engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",systems engineer excel,technical_support
closing and reporting specialist,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",closing and reporting specialist communication,data_analyst_bi
sales operation executive e-commerce,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",sales operation executive e-commerce excel,sales
assistant manager payroll,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",assistant manager payroll communication,finance_accounting
ar senior analyst,Full-time,"USD 60,000 - 90,000 / YEARLY",communication,"5,000 - 7,500",ar senior analyst communication,data_analyst_bi
payments collections analyst,Full-time,"USD 60,000 - 90,000 / YEARLY",communication,"5,000 - 7,500",payments collections analyst communication,data_analyst_bi
people generalist,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",people generalist excel,administration
field applications program penang malaysia,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",field applications program penang malaysia excel,administration
front desk clerk usa visa sponsorship jobs,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",front desk clerk usa visa sponsorship jobs communication,administration
me engineer / assistant engineer designer,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",me engineer / assistant engineer designer communication,design_uiux
manager - partner affairs,Full-time,"USD 60,000 - 90,000 / YEARLY",excel,"5,000 - 7,500",manager - partner affairs excel,management
manager business analyst,Full-time,"USD 60,000 - 90,000 / YEARLY",sql excel data analysis,"5,000 - 7,500",manager business analyst sql excel data analysis,data_analyst_bi
learning and development specialist,Full-time,"USD 45,000 - 82,500 / YEARLY",data analysis,"3,750 - 6,875",learning and development specialist data analysis,administration
performance test engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",java,"5,833 - 8,750",performance test engineer java,software_dev
head of data,Full-time,"USD 60,000 - 90,000 / YEARLY",sql data analysis,"5,000 - 7,500",head of data sql data analysis,management
semiconductor field service engineer penang,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",semiconductor field service engineer penang excel,technical_support
accounting senior executive,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",accounting senior executive communication,finance_accounting
tropical oils trader,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",tropical oils trader communication,administration
hr department,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",hr department communication,hr_recruitment
analyst finance accounting ap ar ga,Full-time,"USD 60,000 - 90,000 / YEARLY",communication,"5,000 - 7,500",analyst finance accounting ap ar ga communication,finance_accounting
general application pasir gudang,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",general application pasir gudang communication,administration
manager project bintulu,Contract,"USD 75,000 - 110,000 / YEARLY",communication,"6,250 - 9,167",manager project bintulu communication,management
typist / clerk,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",typist / clerk excel,administration
murex front office consultant,Full-time,"USD 45,000 - 82,500 / YEARLY",java,"3,750 - 6,875",murex front office consultant java,backend_dev
executive field sales,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",executive field sales excel,sales
test module engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",test module engineer excel,technical_support
industrial iot software qa engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",excel java,"5,833 - 8,750",industrial iot software qa engineer excel java,software_dev
facilities industrial wastewater technician hazwaste,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",facilities industrial wastewater technician hazwaste communication,administration
cybersecurity engineer malaysia,Full-time,"USD 70,000 - 105,000 / YEARLY",python excel,"5,833 - 8,750",cybersecurity engineer malaysia python excel,network_security
electrical electronics engineer pcb analysis,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",electrical electronics engineer pcb analysis excel,technical_support
analyst product management,Full-time,"USD 60,000 - 90,000 / YEARLY",excel,"5,000 - 7,500",analyst product management excel,data_analyst_bi
manager - operations transformation government public sector my,Full-time,"USD 75,000 - 100,000 / YEARLY",excel data analysis,"6,250 - 8,333",manager - operations transformation government public sector my excel data analysis,management
data engineer,Full-time,"USD 60,000 - 90,000 / YEARLY",python sql excel java data analysis,"5,000 - 7,500",data engineer python sql excel java data analysis,cloud_devops
compliance testing,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",compliance testing excel,administration
engineer application software,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",engineer application software excel,technical_support
area sales manager north,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",area sales manager north excel,sales
despatch clerk kuantan,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",despatch clerk kuantan communication,administration
lead systems administration,Full-time,"USD 70,000 - 105,000 / YEARLY",sql excel,"5,833 - 8,750",lead systems administration sql excel,administration
lead decision analyst,Full-time,"USD 60,000 - 90,000 / YEARLY",python sql excel machine learning data analysis,"5,000 - 7,500",lead decision analyst python sql excel machine learning data analysis,data_science_ai
vp corporate treasury ct,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",vp corporate treasury ct communication,finance_accounting
technical field advisor - controls,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",technical field advisor - controls excel,administration
tl transaction management,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",tl transaction management communication,administration
head of investment,Full-time,"USD 75,000 - 100,000 / YEARLY",communication,"6,250 - 8,333",head of investment communication,management
talent management,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",talent management excel,hr_recruitment
graduate-technology - gbs malaysia,Full-time,"USD 45,000 - 82,500 / YEARLY",python sql excel java machine learning react,"3,750 - 6,875",graduate-technology - gbs malaysia python sql excel java machine learning react,frontend_dev
business systems analyst - product cost planning and inventory valuation,Full-time,"USD 60,000 - 90,000 / YEARLY",excel,"5,000 - 7,500",business systems analyst - product cost planning and inventory valuation excel,procurement
gis consultant,Full-time,"USD 45,000 - 82,500 / YEARLY",python sql excel,"3,750 - 6,875",gis consultant python sql excel,administration
engineering project coordinator,Contract,"USD 70,000 - 115,500 / YEARLY",communication,"5,833 - 9,625",engineering project coordinator communication,management
presales architect,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",presales architect communication,sales
functional consultant,Full-time,"USD 45,000 - 82,500 / YEARLY",sql excel,"3,750 - 6,875",functional consultant sql excel,administration
accounts executive - finance casino,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",accounts executive - finance casino communication,finance_accounting
inventory/ fixed asset analyst,Full-time,"USD 60,000 - 90,000 / YEARLY",excel,"5,000 - 7,500",inventory/ fixed asset analyst excel,procurement
process expert - procurement it,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",process expert - procurement it excel,procurement
head of compliance,Full-time,"USD 75,000 - 100,000 / YEARLY",communication,"6,250 - 8,333",head of compliance communication,management
svc spec i-testing tools,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",svc spec i-testing tools excel,administration
avp software engineering adtech,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",avp software engineering adtech communication,software_dev
record to report accountant,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",record to report accountant excel,finance_accounting
specialist - record to report r2r,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",specialist - record to report r2r excel,administration
seismic imaging geophysicist,Full-time,"USD 45,000 - 82,500 / YEARLY",machine learning,"3,750 - 6,875",seismic imaging geophysicist machine learning,data_science_ai
food service - mysg hr business partner,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",food service - mysg hr business partner communication,hr_recruitment
head of business operations - my base,Full-time,"USD 75,000 - 100,000 / YEARLY",excel,"6,250 - 8,333",head of business operations - my base excel,management
financial reporting analysis,Full-time,"USD 45,000 - 82,500 / YEARLY",excel data analysis,"3,750 - 6,875",financial reporting analysis excel data analysis,data_analyst_bi
business analyst it,Full-time,"USD 60,000 - 90,000 / YEARLY",communication,"5,000 - 7,500",business analyst it communication,data_analyst_bi
compliance manager,Full-time,"USD 75,000 - 100,000 / YEARLY",excel,"6,250 - 8,333",compliance manager excel,management
financial reporting,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",financial reporting excel,data_analyst_bi
project engineer penang,Contract,"USD 70,000 - 115,500 / YEARLY",excel,"5,833 - 9,625",project engineer penang excel,technical_support
accounts supervisor,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",accounts supervisor excel,administration
asst.admin,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",asst.admin communication,administration
associate consultant transaction advisory,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",associate consultant transaction advisory communication,administration
junior automation testing engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",python sql excel java,"5,833 - 8,750",junior automation testing engineer python sql excel java,software_dev
murex front office consultant,Full-time,"USD 45,000 - 82,500 / YEARLY",sql,"3,750 - 6,875",murex front office consultant sql,administration
regional category manager packaging materials,Full-time,"USD 75,000 - 100,000 / YEARLY",excel,"6,250 - 8,333",regional category manager packaging materials excel,management
head of east coast region - enterprise,Full-time,"USD 75,000 - 100,000 / YEARLY",excel,"6,250 - 8,333",head of east coast region - enterprise excel,management
nd level support techniker m/w/d,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",nd level support techniker m/w/d communication,customer_service
information technology specialist,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",information technology specialist excel,administration
channel manager,Full-time,"USD 75,000 - 100,000 / YEARLY",excel,"6,250 - 8,333",channel manager excel,management
product specialist,Full-time,"USD 45,000 - 82,500 / YEARLY",sql excel,"3,750 - 6,875",product specialist sql excel,administration
complex claims examiner,Full-time,"USD 60,000 - 90,000 / YEARLY",communication,"5,000 - 7,500",complex claims examiner communication,administration
intern accounting finance march/april,Internship,"USD 18,000 - 24,000 / YEARLY",communication,"1,500 - 2,000",intern accounting finance march/april communication,finance_accounting
finance lead,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",finance lead excel,finance_accounting
field service specialist - control,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",field service specialist - control excel,customer_service
my ctsm - loans doc processing intermediate analyst hybrid,Full-time,"USD 60,000 - 90,000 / YEARLY",excel,"5,000 - 7,500",my ctsm - loans doc processing intermediate analyst hybrid excel,data_analyst_bi
project managers,Contract,"USD 75,000 - 110,000 / YEARLY",communication,"6,250 - 9,167",project managers communication,management
database engineer etl,Full-time,"USD 60,000 - 90,000 / YEARLY",sql,"5,000 - 7,500",database engineer etl sql,technical_support
sales and service coordinator,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",sales and service coordinator excel,sales
maintenance process lead engineer mnc -coating/polymer/paint manufacturing,Full-time,"USD 60,000 - 90,000 / YEARLY",communication,"5,000 - 7,500",maintenance process lead engineer mnc -coating/polymer/paint manufacturing communication,technical_support
after sales technician based in butterworth/ padang besar,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",after sales technician based in butterworth/ padang besar communication,sales
technician / application engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",technician / application engineer excel,technical_support
senior data engineer,Full-time,"USD 60,000 - 90,000 / YEARLY",python sql,"5,000 - 7,500",senior data engineer python sql,cloud_devops
ems/odm field application engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",ems/odm field application engineer communication,technical_support
senior global sales operations executive,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",senior global sales operations executive excel,sales
sales manager / sales engineer / executive,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",sales manager / sales engineer / executive communication,sales
customer experience analyst / designer,Full-time,"USD 60,000 - 90,000 / YEARLY",communication,"5,000 - 7,500",customer experience analyst / designer communication,data_analyst_bi
human resources admin executive,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",human resources admin executive communication,hr_recruitment
inside sales executive export sales open for fresh grad based in shah alam,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",inside sales executive export sales open for fresh grad based in shah alam excel,sales
accounts executive/ revenue analyst,Full-time,"USD 60,000 - 90,000 / YEARLY",excel,"5,000 - 7,500",accounts executive/ revenue analyst excel,finance_accounting
account assistant manager,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",account assistant manager excel,finance_accounting
officer customer services,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",officer customer services excel,customer_service
human resources admin executive/senior executive food manufacturer,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",human resources admin executive/senior executive food manufacturer excel,hr_recruitment
administration specialist retail industry immediate hiring,Full-time,"USD 60,000 - 90,000 / YEARLY",communication,"5,000 - 7,500",administration specialist retail industry immediate hiring communication,administration
hr ops manager,Full-time,"USD 75,000 - 100,000 / YEARLY",excel data analysis,"6,250 - 8,333",hr ops manager excel data analysis,hr_recruitment
accounts cum admin executive,Full-time,"USD 50,000 - 75,000 / YEARLY",sql excel,"4,167 - 6,250",accounts cum admin executive sql excel,administration
customer quality support engineer-mnc,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",customer quality support engineer-mnc excel,customer_service
finance manager / assistant manager,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",finance manager / assistant manager excel,finance_accounting
tax junior / semi-senior,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",tax junior / semi-senior communication,digital_marketing
relationship manager - business hire purchase sabah,Full-time,"USD 75,000 - 100,000 / YEARLY",excel,"6,250 - 8,333",relationship manager - business hire purchase sabah excel,sales
full-stack developer angular + node,Full-time,"USD 70,000 - 105,000 / YEARLY",excel java,"5,833 - 8,750",full-stack developer angular + node excel java,backend_dev
post sales support,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",post sales support communication,sales
internship - e-commerce inventory control admin,Internship,"USD 18,000 - 24,000 / YEARLY",excel data analysis,"1,500 - 2,000",internship - e-commerce inventory control admin excel data analysis,internship
business system analyst,Full-time,"USD 60,000 - 90,000 / YEARLY",excel java,"5,000 - 7,500",business system analyst excel java,backend_dev
production process engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",production process engineer excel,technical_support
talent acquisition officer,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",talent acquisition officer communication,hr_recruitment
planning engineer / project planner x2,Contract,"USD 70,000 - 115,500 / YEARLY",communication,"5,833 - 9,625",planning engineer / project planner x2 communication,technical_support
clinical application specialist- basic +allowance+ incentive,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",clinical application specialist- basic +allowance+ incentive excel,administration
continuous improvement assistant manager,Full-time,"USD 75,000 - 100,000 / YEARLY",communication,"6,250 - 8,333",continuous improvement assistant manager communication,management
account cum admin clerk,Full-time,"USD 50,000 - 75,000 / YEARLY",sql,"4,167 - 6,250",account cum admin clerk sql,administration
junior system support application,Full-time,"USD 70,000 - 105,000 / YEARLY",sql excel,"5,833 - 8,750",junior system support application sql excel,customer_service
country finance manager hybrid working,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",country finance manager hybrid working communication,finance_accounting
process technician wirebond/aoi,Full-time,"USD 45,000 - 82,500 / YEARLY",data analysis,"3,750 - 6,875",process technician wirebond/aoi data analysis,administration
project assistant / it and cloud admin,Contract,"USD 70,000 - 115,500 / YEARLY",excel,"5,833 - 9,625",project assistant / it and cloud admin excel,cloud_devops
project enginner,Contract,"USD 45,000 - 90,750 / YEARLY",communication,"3,750 - 7,562",project enginner communication,administration
senior executive finance,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",senior executive finance communication,finance_accounting
knowles apprentice scheme,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",knowles apprentice scheme communication,administration
accounts assistant full time / part time available,Part-time,"USD 30,000 - 54,000 / YEARLY",communication,"2,500 - 4,500",accounts assistant full time / part time available communication,finance_accounting
hr data analyst,Full-time,"USD 60,000 - 90,000 / YEARLY",excel,"5,000 - 7,500",hr data analyst excel,data_analyst_bi
software engineer asp.net c#,Full-time,"USD 70,000 - 105,000 / YEARLY",sql java react,"5,833 - 8,750",software engineer asp.net c# sql java react,software_dev
solution analyst,Full-time,"USD 60,000 - 90,000 / YEARLY",excel,"5,000 - 7,500",solution analyst excel,data_analyst_bi
r d technician,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",r d technician communication,administration
executive digital analytics,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",executive digital analytics excel,data_analyst_bi
service partner enablement engineer ap d s,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",service partner enablement engineer ap d s excel,customer_service
purchasing clerk,Full-time,"USD 30,000 - 50,000 / YEARLY",sql,"2,500 - 4,167",purchasing clerk sql,procurement
senior sales executive - prai manufacturing id,Full-time,"USD 60,000 - 90,000 / YEARLY",communication,"5,000 - 7,500",senior sales executive - prai manufacturing id communication,sales
finance analyst,Full-time,"USD 60,000 - 90,000 / YEARLY",communication,"5,000 - 7,500",finance analyst communication,finance_accounting
junior/senior test development engineer us new set up mnc industry,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",junior/senior test development engineer us new set up mnc industry communication,technical_support
facility engineer based in singapore,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",facility engineer based in singapore communication,technical_support
senior it clerk,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",senior it clerk communication,administration
assistant vice president client coverage,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",assistant vice president client coverage excel,administration
accounts admin junior executive,Full-time,"USD 50,000 - 75,000 / YEARLY",sql,"4,167 - 6,250",accounts admin junior executive sql,administration
senior junior quantity surveyor contract executive in construction,Contract,"USD 70,000 - 115,500 / YEARLY",communication,"5,833 - 9,625",senior junior quantity surveyor contract executive in construction communication,administration
accounts associate skudai / segamat,Full-time,"USD 60,000 - 90,000 / YEARLY",sql,"5,000 - 7,500",accounts associate skudai / segamat sql,administration
assistant manager compliance,Full-time,"USD 75,000 - 100,000 / YEARLY",communication,"6,250 - 8,333",assistant manager compliance communication,management
senior java developer cold fusion,Full-time,"USD 70,000 - 105,000 / YEARLY",java react,"5,833 - 8,750",senior java developer cold fusion java react,backend_dev
application manager,Full-time,"USD 75,000 - 100,000 / YEARLY",excel,"6,250 - 8,333",application manager excel,management
executive centralized purchasing center,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",executive centralized purchasing center communication,procurement
regional management trainee degree holder only,Internship,"USD 18,000 - 24,000 / YEARLY",communication,"1,500 - 2,000",regional management trainee degree holder only communication,internship
internship - accounts,Internship,"USD 18,000 - 24,000 / YEARLY",data analysis,"1,500 - 2,000",internship - accounts data analysis,internship
admin project coordinator,Contract,"USD 30,000 - 55,000 / YEARLY",communication,"2,500 - 4,583",admin project coordinator communication,management
programmer/analyst programmer system qa,Full-time,"USD 60,000 - 90,000 / YEARLY",sql excel java,"5,000 - 7,500",programmer/analyst programmer system qa sql excel java,software_dev
fleet asset engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",fleet asset engineer excel,technical_support
product development engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",product development engineer communication,technical_support
purchasing executive,Full-time,"USD 45,000 - 82,500 / YEARLY",sql,"3,750 - 6,875",purchasing executive sql,procurement
internship - hr cum traning department,Internship,"USD 18,000 - 24,000 / YEARLY",communication,"1,500 - 2,000",internship - hr cum traning department communication,internship
veterinary clinic receptionist,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",veterinary clinic receptionist communication,administration
piping layout designer,Full-time,"USD 45,000 - 70,000 / YEARLY",communication,"3,750 - 5,833",piping layout designer communication,design_uiux
senior account executive established and growing co. next to mrt,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",senior account executive established and growing co. next to mrt excel,sales
audit / tax / accounting internship,Internship,"USD 18,000 - 24,000 / YEARLY",communication,"1,500 - 2,000",audit / tax / accounting internship communication,finance_accounting
auditor / accountant,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",auditor / accountant communication,finance_accounting
web developer,Full-time,"USD 70,000 - 105,000 / YEARLY",sql excel java,"5,833 - 8,750",web developer sql excel java,software_dev
admin assistant / officer,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",admin assistant / officer communication,administration
account executive/account admin,Full-time,"USD 50,000 - 75,000 / YEARLY",sql,"4,167 - 6,250",account executive/account admin sql,sales
fullstack developer,Full-time,"USD 70,000 - 105,000 / YEARLY",sql excel java react,"5,833 - 8,750",fullstack developer sql excel java react,software_dev
it audit manager,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",it audit manager communication,management
web3 developer,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",web3 developer excel,software_dev
qs/project coordinator/construction manager,Contract,"USD 75,000 - 110,000 / YEARLY",excel,"6,250 - 9,167",qs/project coordinator/construction manager excel,management
finance account senior executive / executive,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",finance account senior executive / executive communication,finance_accounting
system administrator system security infrastructure services,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",system administrator system security infrastructure services communication,cloud_devops
avp/vp internal audit,Internship,"USD 18,000 - 24,000 / YEARLY",communication,"1,500 - 2,000",avp/vp internal audit communication,internship
structural designer,Full-time,"USD 45,000 - 70,000 / YEARLY",communication,"3,750 - 5,833",structural designer communication,design_uiux
specialist martech,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",specialist martech excel,administration
assistant manager finance property development,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",assistant manager finance property development communication,finance_accounting
b2b client advisor,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",b2b client advisor excel,administration
customer support executive,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",customer support executive excel,customer_service
human resource director - based in kulim,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",human resource director - based in kulim communication,hr_recruitment
manager digital security governance,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",manager digital security governance excel,network_security
project manager based in sabah,Contract,"USD 75,000 - 110,000 / YEARLY",communication,"6,250 - 9,167",project manager based in sabah communication,management
qa executive,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",qa executive communication,administration
purchasing executive / operation officer,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",purchasing executive / operation officer communication,procurement
purchasing cum store assistant senai,Full-time,"USD 60,000 - 90,000 / YEARLY",sql,"5,000 - 7,500",purchasing cum store assistant senai sql,procurement
audit technical compliance supervisor mid valley kl,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",audit technical compliance supervisor mid valley kl communication,administration
recruitment training executive,Full-time,"USD 60,000 - 90,000 / YEARLY",communication,"5,000 - 7,500",recruitment training executive communication,hr_recruitment
sales engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",sql,"5,833 - 8,750",sales engineer sql,sales
failure analysis engineer fae,Full-time,"USD 60,000 - 90,000 / YEARLY",communication,"5,000 - 7,500",failure analysis engineer fae communication,technical_support
machine maintenance manager is machine,Full-time,"USD 60,000 - 90,000 / YEARLY",communication,"5,000 - 7,500",machine maintenance manager is machine communication,management
sap/ ie sap data aministrator,Full-time,"USD 60,000 - 90,000 / YEARLY",excel,"5,000 - 7,500",sap/ ie sap data aministrator excel,administration
senior executive/executive - secretarial,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",senior executive/executive - secretarial communication,administration
assistant purchaser butterworth,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",assistant purchaser butterworth excel,administration
financial accountant - fresh grad,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",financial accountant - fresh grad communication,finance_accounting
application support / project consultant,Contract,"USD 45,000 - 90,750 / YEARLY",sql excel,"3,750 - 7,562",application support / project consultant sql excel,customer_service
procurement qc executive,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",procurement qc executive communication,procurement
facilities and environmental manager,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",facilities and environmental manager communication,management
information technology project manager id,Contract,"USD 75,000 - 110,000 / YEARLY",excel,"6,250 - 9,167",information technology project manager id excel,management
human resource executive - contractual,Contract,"USD 30,000 - 55,000 / YEARLY",communication,"2,500 - 4,583",human resource executive - contractual communication,hr_recruitment
assistant finance administration manager,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",assistant finance administration manager excel,finance_accounting
senior executive/assistant manager client coverage,Full-time,"USD 75,000 - 100,000 / YEARLY",excel,"6,250 - 8,333",senior executive/assistant manager client coverage excel,management
human resource officer contract,Contract,"USD 30,000 - 55,000 / YEARLY",excel,"2,500 - 4,583",human resource officer contract excel,hr_recruitment
sales cum customer coordinator,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",sales cum customer coordinator communication,sales
assembly engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",assembly engineer excel,digital_marketing
senior technician wafer sawing,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",senior technician wafer sawing communication,administration
mortgage loan consultant / mortgage specialist,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",mortgage loan consultant / mortgage specialist communication,administration
sales leader,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",sales leader communication,sales
senior construction manager,Full-time,"USD 75,000 - 100,000 / YEARLY",excel,"6,250 - 8,333",senior construction manager excel,management
it helpdesk analyst indonesian speaking,Full-time,"USD 60,000 - 90,000 / YEARLY",communication,"5,000 - 7,500",it helpdesk analyst indonesian speaking communication,customer_service
senior mechanical engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",excel data analysis,"5,833 - 8,750",senior mechanical engineer excel data analysis,technical_support
it security lead,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",it security lead excel,network_security
chief financial officer malacca based,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",chief financial officer malacca based excel,administration
senior infrastructure engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",senior infrastructure engineer excel,cloud_devops
